n_qubits,depth,gate_count,two_qubit_ratio,two_qubit_gates,fidelity,robust_fidelity,total_error_rate,classical_shadow_expr,entropy_expressibility,angle_entropy,entropy,concentration,state_exploration,entanglement_potential,circuit_complexity,quantum_volume,performance_per_complexity,shot_efficiency,expressibility_ratio,complexity_per_qubit,performance_score
60,4,0,0.100000,0,0.009868,0.756579,0.990132,22.353690,1.180451,1.180451,0,0,0.000000,0.400000,0,16,756578.947368,756.578947,0.052808,0.000000,0.893105
60,4,0,0.100000,0,0.000822,0.522204,0.999178,20.491189,1.175097,1.175097,0,0,0.000000,0.400000,0,16,522203.947368,522.203947,0.057346,0.000000,0.613640
60,4,0,0.100000,0,0.000822,0.522204,0.999178,20.491189,1.175097,1.175097,0,0,0.000000,0.400000,0,16,522203.947368,522.203947,0.057346,0.000000,0.613640
60,3,0,0.500000,0,0.006579,0.729441,0.993421,20.848237,1.171639,1.171639,0,0,0.000000,1.500000,0,9,729440.789474,729.440789,0.056198,0.000000,0.854641
60,3,0,0.500000,0,0.006579,0.729441,0.993421,20.848237,1.171639,1.171639,0,0,0.000000,1.500000,0,9,729440.789474,729.440789,0.056198,0.000000,0.854641
60,2,0,0.300000,0,0.000000,0.662007,1.000000,23.639230,1.171272,1.171272,0,0,0.000000,0.600000,0,4,662006.578947,662.006579,0.049548,0.000000,0.775390
60,2,0,0.300000,0,0.000000,0.662007,1.000000,23.639230,1.171272,1.171272,0,0,0.000000,0.600000,0,4,662006.578947,662.006579,0.049548,0.000000,0.775390
60,2,0,0.100000,0,0.113487,0.993421,0.886513,24.872615,1.169602,1.169602,0,0,0.000000,0.200000,0,4,993421.052632,993.421053,0.047024,0.000000,1.161907
60,2,0,0.100000,0,0.113487,0.993421,0.886513,24.872615,1.169602,1.169602,0,0,0.000000,0.200000,0,4,993421.052632,993.421053,0.047024,0.000000,1.161907
60,2,0,0.100000,0,0.026316,0.916941,0.973684,23.878963,1.168625,1.168625,0,0,0.000000,0.200000,0,4,916940.789474,916.940789,0.048940,0.000000,1.071560
60,2,0,0.100000,0,0.026316,0.916941,0.973684,23.878963,1.168625,1.168625,0,0,0.000000,0.200000,0,4,916940.789474,916.940789,0.048940,0.000000,1.071560
10,4,0,0.300000,0,0.190789,0.639803,0.809211,38.100255,1.167619,1.167619,0,0,0.000000,1.200000,0,16,639802.631579,639.802632,0.030646,0.000000,0.747045
